name,cpf,birthDate,motherName,cnpj,genre,createdAt
Ayla Moraes,745.286.309-74,2006-08-29T19:33:02.566717,Fernanda da Cruz,,Desconhecido,2025-01-22T15:43:46.870109
Danilo Brito,495.872.630-65,1991-03-26T15:11:29.008519,Ana Vitória Cavalcante,,Masculino,2024-04-06T02:40:49.796575
José Miguel Garcia,830.214.965-98,1980-06-04T15:11:29.415754,Alícia Abreu,,Masculino,2024-04-27T12:05:47.036485
Pedro Lucas Silveira,258.493.071-41,1982-08-28T20:14:53.024490,Manuela Rodrigues,,Masculino,2025-05-01T11:59:37.835144
Nicole Montenegro,786.324.109-03,1983-06-25T14:39:01.355782,Carolina Almeida,,Desconhecido,2024-12-21T01:27:17.841019
Maria Eduarda Peixoto,806.179.354-75,2001-01-08T06:12:43.809114,Esther das Neves,,Feminino,2024-10-08T10:48:20.980063
Ryan Peixoto,439.025.768-47,1995-06-11T04:58:35.612490,Ana Julia da Cruz,,Masculino,2024-02-03T03:56:19.707488
Pedro Henrique Aparecida,492.170.653-07,1984-04-22T19:09:00.563947,Hellena Cirino,,Masculino,2025-08-20T04:51:14.629252
Ana Laura Pastor,940.276.831-96,2001-07-01T10:30:26.712124,Vitória Porto,,Feminino,2024-11-09T21:39:56.821880
Gabriel Pinto,239.458.706-74,1950-06-16T06:42:37.662964,Yasmin Ramos,,Masculino,2024-10-09T03:05:01.577748
Maria Eduarda Siqueira,149.207.358-04,1983-08-04T22:30:11.565200,Beatriz Camargo,,Feminino,2025-05-17T20:30:59.754362
Dante Monteiro,074.125.869-20,1979-07-03T03:33:33.967086,Maria Júlia Oliveira,,Masculino,2024-08-11T15:16:03.345411
Kaique Jesus,152.463.790-43,1979-09-05T13:36:27.857122,Letícia Garcia,,Desconhecido,2024-04-01T05:40:14.591606
Gabriela Cassiano,213.674.850-53,1956-09-13T23:09:21.040529,Sabrina Sampaio,,Feminino,2024-01-15T00:38:59.430984
Henry Gabriel Barros,810.345.962-33,1964-12-15T01:42:26.204670,Heloisa Ramos,,Masculino,2025-01-25T16:20:32.186667
Manuella Fonseca,431.098.627-78,1997-05-20T13:05:10.666276,Luara Mendes,,Feminino,2024-08-25T04:00:04.641064
Paulo Pimenta,103.425.768-44,1965-09-19T17:39:42.265829,Laís Ferreira,,Masculino,2025-06-08T21:32:49.236560
Felipe Nogueira,480.753.219-79,1985-06-20T16:52:41.740737,Ana Júlia Martins,,Desconhecido,2023-12-19T01:16:13.893736
Jade Cavalcanti,167.054.392-70,1968-07-01T03:50:44.158279,Ana Cecília Castro,,Feminino,2024-09-24T17:28:49.589430
Fernanda Rodrigues,738.091.452-97,1984-05-02T22:02:48.575570,Heloisa Correia,,Feminino,2025-02-23T00:05:13.412159
Emilly Fonseca,274.681.305-07,1948-03-10T04:58:27.608857,Bárbara Borges,,Desconhecido,2024-04-22T02:46:26.141356
Isabella da Luz,890.652.374-29,1970-11-25T02:00:42.319917,Elisa Pastor,,Desconhecido,2025-07-30T07:42:43.476614
Mirella da Rosa,674.125.839-64,1949-08-30T09:13:46.181935,Maria Flor Jesus,,Desconhecido,2024-09-17T07:10:11.791876
Ana Clara Rocha,643.907.812-78,1987-01-10T10:04:50.513745,Sarah Mendes,,Desconhecido,2024-05-26T02:36:50.647093
Caio Rios,379.601.452-61,2000-05-18T05:10:56.070391,Hellena Macedo,,Masculino,2023-10-29T09:28:54.424636
Maria Laura Abreu,547.126.390-16,1969-05-23T10:53:52.670154,Luara Rezende,,Feminino,2023-11-30T05:00:10.202075
Maria Liz Melo,389.150.674-01,1978-05-01T02:13:27.514549,Maria Cecília Porto,,Desconhecido,2025-07-03T22:45:42.610917
Maria Flor Casa Grande,897.105.326-77,1972-05-19T03:42:04.402983,Ana Lívia Câmara,,Desconhecido,2024-10-25T04:03:24.610404
Ian Rodrigues,987.520.136-77,1966-10-31T22:52:20.646639,Sabrina Borges,,Masculino,2023-11-01T16:28:07.445895
Ian Pereira,781.254.306-44,1956-02-15T07:36:35.246978,Maria Flor Dias,,Desconhecido,2024-04-19T15:52:33.440895
Manuella Montenegro,023.469.571-43,1995-11-04T18:19:07.035089,Antonella da Rosa,,Feminino,2024-11-08T03:28:07.270163
Ana Lívia Duarte,615.280.734-44,1977-05-29T17:02:07.016920,Lara Dias,,Desconhecido,2024-11-24T11:41:26.449996
Benício Camargo,531.207.498-50,1993-10-27T07:14:51.423152,Caroline da Paz,,Masculino,2025-01-20T22:33:08.258241
Vicente Caldeira,516.240.397-07,1965-06-03T05:47:31.489612,Mariah da Mota,,Masculino,2024-01-09T02:28:56.616858
Aylla Ribeiro,941.630.582-06,1952-03-07T12:03:46.461548,Mariah Rezende,,Feminino,2024-04-24T00:35:14.807881
Sofia Leão,687.540.123-17,1965-10-04T04:15:00.587696,Juliana Fogaça,,Feminino,2025-01-06T13:56:44.602169
Hellena Costela,310.254.698-60,1977-01-10T23:26:45.812618,Ana Clara Azevedo,,Feminino,2025-09-27T05:57:32.720964
Eduardo da Cunha,214.057.936-43,1976-08-04T01:34:14.289341,Maria Luísa Viana,,Masculino,2024-12-03T01:08:41.383739
